rung,policy,question,n,mean,sd,edge_over_below,win_rate_vs_below,p05_vs_below,p95_vs_below
0,rung0_adp,the incumbent -- the thing to beat,1056,61.49823584595174,11.198204368355668,,,,
1,rung1_best_available,does value-based drafting beat rank-following?,1056,60.205250192597475,11.759295471931809,-1.2929856533542634,0.375,-14.026206913951418,10.740030942194382
2,rung2_vorp_greedy,does positional scarcity matter?,1056,54.2160055867897,12.100108992612025,-5.989244605807779,0.29261363636363635,-26.222501683328083,14.747918707585876
3,rung3_vorp_sequencing,"does sequence-awareness matter, projections fixed?",1056,54.07420717918335,12.186373030566994,-0.14179840760635049,0.45738636363636365,-14.189871747125384,14.555011938453625
4,rung4_own_projections,what was the projection model worth?,176,3.761005298515248,13.506982567062295,-46.316468931367424,0.022727272727272728,-73.6528073306092,-11.003107661157433
