player_id,team,position,draft_tier,career_min,is_rookie,mpg,gp,total_min,pts_rate,pts,reb_rate,reb,ast_rate,ast,stl_rate,stl,blk_rate,blk,fg3m_rate,fg3m,tov_rate,tov,fg_pct_rate,fg_pct,ft_pct_rate,ft_pct
1627832,HOU,G,undrafted,15082.11,0,35.44583113102237,65.89273973024683,2335.622925238738,0.4622503691376495,1079.6425593579634,0.10837565368838101,253.12466129231686,0.2069107406902051,483.26546943417077,0.03722785027174888,86.95022055205186,0.01597552789579298,37.312809196205066,0.0809074185696041,188.9692216330537,0.051758525834100046,120.88839951468553,0.4138724032632609,0.4138724032632609,0.8533321594702414,0.8533321594702414
1628369,BOS,F,lottery,17561.03,0,34.97855095091875,64.01869458494676,2239.2811703508664,0.762819816543065,1708.1680515553878,0.22647534056973423,507.14196568660554,0.13976550116808945,312.9742550303547,0.029019877123139987,64.98366440774325,0.017849040488822535,39.969020275450525,0.08919454116029475,199.73165651833335,0.07190107648218685,161.00672669451853,0.4630474491997469,0.4630474491997469,0.832244417912302,0.832244417912302
1629027,WAS,G,lottery,13881.54,0,34.579374721975526,60.118843409671825,2078.872014114811,0.7312623714976738,1520.2008790817424,0.09085467373264539,188.87523857432853,0.2484256642974567,516.4451610958637,0.03412888778487615,70.94958968884384,0.0054175559507937615,11.262405451006307,0.08840601017117175,183.7847804243983,0.1110477884308077,230.8541395981486,0.42513185775522255,0.42513185775522255,0.8593161579775752,0.8593161579775752
1628368,SAS,G,lottery,15419.9,0,34.470510481742245,66.52590642679002,2293.181954792069,0.7315045750215541,1677.4730912872692,0.12764529991838625,292.7138983868649,0.16539887156174568,379.2897076083663,0.04431207720192189,101.6156558188003,0.011353349451220933,26.035296087988282,0.07426866194226148,170.3115553725465,0.0744115865033133,170.63930739684713,0.46422641374567863,0.46422641374567863,0.7709945881590174,0.7709945881590174
201942,SAC,G,lottery,36796.53,0,34.32415302553252,61.34514722212423,2105.620220626013,0.6106462430495533,1285.7890770144465,0.11838458920653146,249.2729848437767,0.14915795073480012,314.06999713433385,0.031259283654896816,65.82017974603497,0.013270783990640087,27.943231114251745,0.02858698684666455,60.193337551106744,0.05383940441888552,113.36533861086687,0.47026083477599345,0.47026083477599345,0.8474395986161024,0.8474395986161024
1628970,CHA,F,lottery,11041.41,0,34.21180847265254,64.59174289050078,2209.800336684629,0.5651183112529563,1248.798634473432,0.18719113170467327,413.65502586536377,0.09885540482215073,218.450706859084,0.02597586350031746,57.40147190867549,0.016654962036225136,36.80414071512002,0.06078887006219704,134.3312655301212,0.054753335294225096,120.99393876778501,0.4581131890109091,0.4581131890109091,0.8188474600568949,0.8188474600568949
1627734,SAC,F,lottery,17469.65,0,34.179146666504586,63.76017817584498,2179.2684813546703,0.550499271734087,1199.6857118987957,0.3549308765574042,773.4896723411362,0.21225812761418772,462.5674474209567,0.02620832552107123,57.114977757153746,0.01653257962530083,36.028929692904505,0.01470831995944696,32.05337810130256,0.08869583228728606,193.29203173120243,0.5724166833146207,0.5724166833146207,0.72579326523801,0.72579326523801
203076,WAS,F,lottery,25408.65,0,34.09560477970477,63.42870347584945,2162.6400054016494,0.6617520305597606,1431.1314149443133,0.3502105966795872,757.3794466948574,0.09684409187126812,209.43890736759712,0.03273355899857307,70.79090420948927,0.05711994466824771,123.52987744588116,0.01580176552282287,34.17353027563325,0.0655004083084413,141.65380337797774,0.5555241859011658,0.5555241859011658,0.7751807114757389,0.7751807114757389
1629029,LAL,F,lottery,13943.14,0,34.05899766401041,60.07782176269455,2046.1903910744475,0.8122713070926139,1662.061743518388,0.24055363244459432,492.2185312461834,0.24282730379834672,496.87089572269275,0.03425767909061538,70.09773377572921,0.01559991274265004,31.92039155561034,0.09609446336338923,196.62756756962256,0.10736307305757921,219.6852884466425,0.48226722469758654,0.48226722469758654,0.7809551073366708,0.7809551073366708
203081,POR,G,lottery,30517.37,0,34.01830241216798,64.69331623369567,2200.756795683875,0.667023655946291,1467.956843705703,0.12481029700427887,274.67710930348954,0.19129104188365806,420.9850603789093,0.028414161086566324,62.53265810491716,0.008455432993653105,18.608351621231723,0.09515741177795731,209.41832063002838,0.07611701031191274,167.5150277110816,0.4317730278897952,0.4317730278897952,0.864626440787992,0.864626440787992
1628378,CLE,G,lottery,16011.89,0,33.97548320867597,64.26667034579468,2183.491179211061,0.753395508538119,1645.0324473502144,0.1330446484442231,290.50181631919776,0.1624115639074472,354.6242171937845,0.04435792088951833,96.85512899040533,0.012927124053167148,28.226261342657608,0.09506101050287084,207.56487791990853,0.07502551204591788,163.81754376805492,0.4552205075550013,0.4552205075550013,0.847040065029743,0.847040065029743
1626164,PHX,G,lottery,20353.57,0,33.95303475326486,60.51181098434196,2054.559621334357,0.7490508599321156,1538.969651142302,0.12744327060153735,261.83979778870656,0.1816009145483823,373.1099062284972,0.027858589014606316,57.23713209675903,0.011351714533259734,23.322774312949836,0.06516509902977348,133.88558118682727,0.07385135585139742,151.73201371307593,0.4690151430554372,0.4690151430554372,0.8578258514291819,0.8578258514291819
202681,DAL,G,lottery,25073.97,0,33.90620137169732,61.4144445525809,2082.3305241307476,0.6972097212523998,1451.821084284562,0.13442548007903296,279.91828038950007,0.15515454381885946,323.08304255159265,0.03408556020482279,70.97740244659879,0.014496801726736223,30.187132737854167,0.0858227278072037,178.71128577710496,0.053857553890391596,112.14922842097911,0.4732929834380373,0.4732929834380373,0.8632339631673039,0.8632339631673039
201142,HOU,F,undrafted,30078.0,0,33.89238666758913,62.84151235062165,2129.8488353633466,0.7195702903507026,1532.5759448655092,0.17528688874887036,373.33457585624603,0.14733309766007116,313.79722646177675,0.02420032909106087,51.54304273000571,0.030749091264140636,65.49091621741118,0.060311482895304164,128.45434160359997,0.08823501246536174,187.92723853762107,0.4995159444687005,0.4995159444687005,0.8575734470966305,0.8575734470966305
1630178,PHI,G,late_first,8227.94,0,33.82142858407354,64.32291641819099,2175.4929239571775,0.6591782809096702,1434.0376857452443,0.10130210673643154,220.38201638706155,0.15036650947221022,327.12127735693326,0.02643447663108342,57.50801685943335,0.009723998792106493,21.154490564795815,0.0783802352193462,170.5156470977868,0.048963972705798865,106.5207761502978,0.4501748507777731,0.4501748507777731,0.8458649553178325,0.8458649553178325
1627749,NOP,G,late_first,13733.23,0,33.713950728809614,67.83486032678428,2286.981138752887,0.5955520387552493,1362.0162797790836,0.1516941270344618,346.9216073873986,0.1752246722928696,400.73552057794836,0.03817724315283735,87.31063502012182,0.009017673912628574,20.623250153605497,0.06708856880745816,153.43029148858207,0.0687802739920824,157.2991893381482,0.44963592509976624,0.44963592509976624,0.8073462609609952,0.8073462609609952
1630162,MIN,G,lottery,10392.24,0,33.579657892143864,69.84012186028173,2345.2073992138985,0.7483122557252653,1754.9474390493351,0.1570053360249105,368.2100757616846,0.14427728969506445,338.3601673313923,0.03595557318244237,84.32327627044067,0.015328061667148484,35.94748363740355,0.07052273987352943,165.39045136423826,0.08918883625885513,209.1663187215439,0.4531669727621777,0.4531669727621777,0.8075642379334493,0.8075642379334493
1628969,NYK,G,lottery,15479.03,0,33.51700070603158,68.08064900997829,2281.8591609345303,0.5692045711577999,1298.8446651422364,0.12797589710514518,292.02297318819035,0.10472819834636019,238.97499880481053,0.030510872120110104,69.62151305537519,0.01263748241608321,28.836955022288514,0.07839138458636008,178.87809905672768,0.056106156723794286,128.02634770501848,0.4363423032092783,0.4363423032092783,0.8302632371913298,0.8302632371913298
203944,MIN,F,lottery,20511.91,0,33.50235882393386,61.57004639750183,2062.7417872153624,0.6447151101371079,1329.8807985289673,0.25785168980997375,531.8814554751265,0.1274634016434104,262.924084910478,0.021476646981031,44.300777177045305,0.010707829862602849,22.08748810798343,0.05236918209102529,108.02410026144825,0.09205214572766493,189.87980759529253,0.4618096323350348,0.4618096323350348,0.7769516481657777,0.7769516481657777
1630567,TOR,F,lottery,7388.67,0,33.33902456473307,63.90904599960803,2130.6652544895883,0.5725391840439483,1219.8893462762603,0.23005078300157708,490.16121010958426,0.15584389348639077,332.05116897582906,0.033705607647457635,71.81536709589653,0.030751625955435312,65.52142094230621,0.045697079972027335,97.36518052803069,0.06953047732838379,148.14617217166338,0.47379766829204445,0.47379766829204445,0.7629639739812024,0.7629639739812024
1628389,MIA,C,lottery,14679.44,0,33.16532763518687,64.78914679563587,2148.753280681481,0.574286227716814,1233.9994158566963,0.299604758798311,643.7767083756546,0.11194957377650067,240.5520139231493,0.03299990502518164,70.90865418503634,0.026843970908222117,57.68107055556051,0.00797742319317843,17.14151425772669,0.06765499798013112,145.37389886430572,0.5282657336838659,0.5282657336838659,0.7628926548615632,0.7628926548615632
1628983,OKC,G,lottery,12692.74,0,33.16267760013575,68.06491377348824,2257.21479135123,0.8189640116539435,1848.5776806896224,0.16530260496180915,373.1234849686848,0.17582906503483375,396.8839663460841,0.04830304993340318,109.0303587770547,0.02310650881407072,52.15635347160799,0.0417267658387893,94.18627304656442,0.0735910462734934,166.11079815954213,0.4954984475900639,0.4954984475900639,0.8521492669640706,0.8521492669640706
201935,CLE,G,lottery,35482.6,0,33.135731878467425,62.83028616332674,2081.9275161553765,0.4643047016336584,966.6487342114256,0.15845831563146567,329.89872747678197,0.24344146649728615,506.82748767391723,0.032851857000387154,68.39518504590764,0.018830319247482036,39.20335977932305,0.07295387526470572,151.88468032375792,0.07642446941706364,159.11020578695985,0.4264816101267284,0.4264816101267284,0.8561473081917528,0.8561473081917528
203507,MIL,F,late_first,25945.09,0,32.81434500316659,63.15796706138656,2072.4873208509703,0.8179752161878199,1695.243264319588,0.3413998855770796,707.5469341984696,0.18811757576309207,389.87129059823013,0.031816204572479245,65.9386805740639,0.02992273958041282,62.01449838553105,0.015668691168574188,32.473163781199574,0.10225455480369391,211.9212683299163,0.5826958891026971,0.5826958891026971,0.676657932018506,0.676657932018506
202331,PHI,F,lottery,29181.25,0,32.7929277934572,57.46195204426173,1884.3456442585755,0.6257911755193739,1179.2068758053858,0.15984862171087297,301.2100540616202,0.12966307220912213,244.33004533844442,0.0440438713331279,82.99387710286469,0.013520002716277476,25.47635822878157,0.09161235098697158,172.6293345425877,0.06560629052339739,123.62492778372653,0.4548233481487363,0.4548233481487363,0.8610894679394144,0.8610894679394144
