season,n_teams,policy,draft_slot,seed,roster_value,starter_value,bench_value,roster_size,legal
2020-21,10,rung0_adp,1,0,66.76896522882718,61.962042167089535,4.80692306173765,13,True
2020-21,10,rung0_adp,1,1,62.41208922423337,63.128645420471734,-0.7165561962383684,13,True
2020-21,10,rung0_adp,1,2,84.09252529405494,72.00321010059226,12.089315193462667,13,True
2020-21,10,rung0_adp,1,3,64.75929816500052,58.31718640687791,6.442111758122607,13,True
2020-21,10,rung0_adp,1,4,74.62780248836907,67.8652271102127,6.762575378156363,13,True
2020-21,10,rung0_adp,1,5,68.90022073792741,65.88482895456218,3.0153917833652315,13,True
2020-21,10,rung0_adp,1,6,67.49670209710436,65.1480481378823,2.3486539592220717,13,True
2020-21,10,rung0_adp,1,7,75.57418034821048,64.8686101151732,10.705570233037284,13,True
2020-21,10,rung0_adp,2,0,78.28570504559183,68.23902741570272,10.046677629889084,13,True
2020-21,10,rung0_adp,2,1,67.42283493811816,60.84899465208085,6.573840286037309,13,True
2020-21,10,rung0_adp,2,2,71.10490866404089,65.14094405428527,5.963964609755609,13,True
2020-21,10,rung0_adp,2,3,65.35694883375508,54.508597647000364,10.848351186754707,13,True
2020-21,10,rung0_adp,2,4,76.94805139296125,68.37620863224302,8.571842760718233,13,True
2020-21,10,rung0_adp,2,5,44.463556441308306,44.29014303697625,0.17341340433207042,13,True
2020-21,10,rung0_adp,2,6,85.5864171630774,79.62913911022534,5.957278052852072,13,True
2020-21,10,rung0_adp,2,7,55.328274485847736,55.0456518960678,0.2826225897799479,13,True
2020-21,10,rung0_adp,3,0,75.23631081788845,72.80683416853651,2.4294766493519258,13,True
2020-21,10,rung0_adp,3,1,68.12712642502696,67.51504063890837,0.6120857861185829,13,True
2020-21,10,rung0_adp,3,2,73.32538087152123,63.44758065069571,9.877800220825526,13,True
2020-21,10,rung0_adp,3,3,46.18620127721873,50.73727922831397,-4.55107795109525,13,True
2020-21,10,rung0_adp,3,4,77.91485981081408,63.86707903306058,14.047780777753502,13,True
2020-21,10,rung0_adp,3,5,80.25441432358934,63.38707405890881,16.86734026468052,13,True
2020-21,10,rung0_adp,3,6,91.70072307962987,82.50281262136681,9.197910458263074,13,True
2020-21,10,rung0_adp,3,7,70.92535719855876,61.0148905312479,9.910466667310844,13,True
2020-21,10,rung0_adp,4,0,51.58444636086672,54.31209646869297,-2.7276501078262547,13,True
2020-21,10,rung0_adp,4,1,64.60840645415182,66.22753358337167,-1.6191271292198444,13,True
2020-21,10,rung0_adp,4,2,63.96176441939892,65.50773481744189,-1.545970398042956,13,True
2020-21,10,rung0_adp,4,3,69.579812127938,59.19726498934183,10.382547138596175,13,True
2020-21,10,rung0_adp,4,4,64.68754891303234,55.80196155908149,8.88558735395084,13,True
2020-21,10,rung0_adp,4,5,56.01107219906825,55.436741317833736,0.5743308812345214,13,True
2020-21,10,rung0_adp,4,6,72.46156583886042,57.49872684954352,14.962838989316898,13,True
2020-21,10,rung0_adp,4,7,61.824373601153596,59.72229453727287,2.102079063880726,13,True
2020-21,10,rung0_adp,5,0,82.35994506178541,68.80639604588842,13.553549015896984,13,True
2020-21,10,rung0_adp,5,1,60.66591555251618,60.318879279716384,0.3470362727998053,13,True
2020-21,10,rung0_adp,5,2,55.05505907338865,45.80711747968641,9.247941593702242,13,True
2020-21,10,rung0_adp,5,3,74.37281458994224,69.82332739601674,4.549487193925504,13,True
2020-21,10,rung0_adp,5,4,77.72869240900263,70.93779559988945,6.790896809113178,13,True
2020-21,10,rung0_adp,5,5,59.04915039725142,51.76968497294814,7.279465424303273,13,True
2020-21,10,rung0_adp,5,6,61.4092039140822,49.730600468473284,11.67860344560891,13,True
